"","V1"
"1462",1.2211
"1463",1.2132
"1464",1.2276
"1465",1.2245
"1466",1.2315
"1467",1.2309
"1468",1.2254
"1469",1.2335
"1470",1.2323
"1471",1.2409
"1472",1.2413
"1473",1.2305
"1474",1.2304
"1475",1.2282
"1476",1.2301
"1477",1.2315
"1478",1.2392
"1479",1.2312
"1480",1.2267
"1481",1.2377
"1482",1.2414
"1483",1.2474
"1484",1.2509
"1485",1.259
"1486",1.2606
"1487",1.2606
"1488",1.2792
"1489",1.2784
"1490",1.2792
"1491",1.2711
"1492",1.2737
"1493",1.2748
"1494",1.2705
"1495",1.2754
"1496",1.2874
"1497",1.2856
"1498",1.2917
"1499",1.2911
"1500",1.2977
"1501",1.289
"1502",1.2921
"1503",1.2955
"1504",1.2971
"1505",1.3026
"1506",1.3024
"1507",1.302
"1508",1.3033
"1509",1.3089
"1510",1.3146
"1511",1.3213
"1512",1.3238
"1513",1.3247
"1514",1.3295
"1515",1.3294
"1516",1.3314
"1517",1.33
"1518",1.3435
"1519",1.3456
"1520",1.33
"1521",1.3305
"1522",1.3191
"1523",1.3268
"1524",1.3317
"1525",1.3383
"1526",1.3401
"1527",1.3264
"1528",1.3378
"1529",1.3394
"1530",1.3384
"1531",1.3456
"1532",1.3542
"1533",1.3527
"1534",1.3633
"1535",1.3608
"1536",1.3604
"1537",1.3621
"1538",1.3507
"1539",1.3365
"1540",1.3224
"1541",1.3183
"1542",1.32
"1543",1.3103
"1544",1.3143
"1545",1.3139
"1546",1.3232
"1547",1.3091
"1548",1.3085
"1549",1.306
"1550",1.3083
"1551",1.2936
"1552",1.2963
"1553",1.3065
"1554",1.3025
"1555",1.3005
"1556",1.3026
"1557",1.3035
"1558",1.3035
"1559",1.3027
"1560",1.3061
"1561",1.3001
"1562",1.2958
"1563",1.2844
"1564",1.2764
"1565",1.2762
"1566",1.2777
"1567",1.2855
"1568",1.2967
"1569",1.3016
"1570",1.304
"1571",1.3041
"1572",1.3039
"1573",1.3055
"1574",1.3193
"1575",1.3203
"1576",1.326
"1577",1.3165
"1578",1.3257
"1579",1.3216
"1580",1.3101
"1581",1.3144
"1582",1.3115
"1583",1.3197
"1584",1.3246
"1585",1.3346
"1586",1.3409
"1587",1.3416
"1588",1.3372
"1589",1.3383
"1590",1.3373
"1591",1.3378
"1592",1.3279
"1593",1.3199
"1594",1.3175
"1595",1.305
"1596",1.2982
"1597",1.2926
"1598",1.2943
"1599",1.2964
"1600",1.2959
"1601",1.2883
"1602",1.281
"1603",1.286
"1604",1.2923
"1605",1.2819
"1606",1.2971
"1607",1.2985
"1608",1.2922
"1609",1.282
"1610",1.2868
"1611",1.2967
"1612",1.2996
"1613",1.3049
"1614",1.3058
"1615",1.3077
"1616",1.2966
"1617",1.2981
"1618",1.292
"1619",1.2905
"1620",1.2957
"1621",1.2863
"1622",1.2856
"1623",1.2953
"1624",1.2954
"1625",1.2947
"1626",1.2824
"1627",1.2854
"1628",1.2882
"1629",1.2771
"1630",1.2635
"1631",1.2616
"1632",1.2636
"1633",1.2621
"1634",1.2642
"1635",1.2607
"1636",1.2548
"1637",1.2617
"1638",1.2564
"1639",1.2523
"1640",1.2551
"1641",1.2472
"1642",1.2331
"1643",1.2228
"1644",1.2263
"1645",1.2289
"1646",1.2272
"1647",1.2285
"1648",1.2324
"1649",1.2239
"1650",1.2229
"1651",1.2062
"1652",1.211
"1653",1.2069
"1654",1.2115
"1655",1.2177
"1656",1.221
"1657",1.2092
"1658",1.2111
"1659",1.2066
"1660",1.2082
"1661",1.2164
"1662",1.2095
"1663",1.2054
"1664",1.2092
"1665",1.2087
"1666",1.1894
"1667",1.1883
"1668",1.1913
"1669",1.1957
"1670",1.1904
"1671",1.2006
"1672",1.2166
"1673",1.2184
"1674",1.2067
"1675",1.2073
"1676",1.2054
